brain_var,estimate,statistic,p.value,beta,hemi,region
precentral,-122.12257235588831,-4.130011339315103,5.623086827384342e-5,-0.6258015149538467,right,precentral
inferiortemporal,-115.36758749750284,-4.10409101736306,6.229386231752183e-5,-0.5306798388605376,right,inferior temporal
frontalpole,-17.412856702151636,-3.8983823609697272,1.380574695096008e-4,0.8486893780750178,left,frontal pole
insula,-66.03971002380786,-3.823189054051813,1.832791073399655e-4,0.16394057580975438,right,insula
rostralmiddlefrontal,-196.66143672622388,-3.7066899637859096,2.8199511038438046e-4,-1.6754355055018038,left,rostral middle frontal
superiorfrontal,-203.9687624729176,-3.6902972793898945,2.993825893445792e-4,-1.7783350807573186,right,superior frontal
transversetemporal,-11.781620322532286,-3.640044737497071,3.5921063195428827e-4,0.9279867642478475,right,transverse temporal
superiortemporal,-120.59431431752083,-3.6183663872008482,3.88357476606838e-4,-0.6042810424198294,left,superior temporal
bankssts,-40.92210242219612,-3.611171152555723,3.985145266659985e-4,0.5176392123882545,left,bankssts
lateraloccipital,-119.16890750920237,-3.6001819263668975,4.1451163186789953e-4,-0.5842088901405017,left,lateral occipital
middletemporal,-104.55021872168956,-3.598200531711324,4.1745957648471247e-4,-0.37835288766131253,left,middle temporal
superiortemporal,-94.52212484736165,-3.5248905687441825,5.414957296154009e-4,-0.23714026952154224,right,superior temporal
superiorfrontal,-213.44728839819754,-3.518344155272934,5.541141486419906e-4,-1.911808847436051,left,superior frontal
parstriangularis,-53.70710209233582,-3.514567756804742,5.615183883644119e-4,0.3376046715311539,left,pars triangularis
bankssts,-30.154717529226303,-3.2173576252619385,0.0015430712547688033,0.6692623055014292,right,bankssts
cuneus,-39.883731458195406,-3.1949750095215252,0.001660594105202578,0.5322612416855904,right,cuneus
parsopercularis,-43.34715996799446,-3.1885268295716727,0.001695961410593328,0.48349027745870976,right,pars opercularis
temporalpole,23.693313762965275,3.1237423460515163,0.0020921698553560547,1.4275341740874499,right,temporal pole
middletemporal,-93.78901489867353,-3.0856772632305627,0.002363271801559577,-0.22681683452622506,right,middle temporal
parsopercularis,-52.97700322448342,-2.9885264551920163,0.003208855992565512,0.34788570538687563,left,pars opercularis
temporalpole,21.935825095675007,2.957512194639199,0.0035325031418835377,1.4027857444088667,left,temporal pole
lateraloccipital,-102.52783121159484,-2.8861681540377555,0.0043937737214014855,-0.34987423172005205,right,lateral occipital
inferiortemporal,-93.09197399289519,-2.8719093849454054,0.004587402571905916,-0.2170013130034897,left,inferior temporal
lateralorbitofrontal,-50.71458245045321,-2.7162798390042875,0.007268576311307445,0.37974443794745644,right,lateral orbitofrontal
lateralorbitofrontal,-50.827302466150705,-2.6492441417023405,0.008809913442666581,0.3781571484054081,left,lateral orbitofrontal
parstriangularis,-41.068420466779806,-2.6054738977066414,0.009969329152039056,0.5155788054539268,right,pars triangularis
fusiform,-62.86215760177026,-2.5863710819565853,0.010516986120636321,0.20868591848559473,left,fusiform
rostralmiddlefrontal,-143.54757513014656,-2.5782721820534618,0.010757211276149583,-0.9275019949573429,right,rostral middle frontal
caudalanteriorcingulate,-23.98407953399267,-2.520611434784956,0.01261452947291833,0.7561553838690352,right,caudal anterior cingulate
caudalanteriorcingulate,-22.15247348941459,-2.4761534066372173,0.014236794387268938,0.7819475122831536,left,caudal anterior cingulate
lingual,-53.34431555953618,-2.3629018529154764,0.019236685252129893,0.34271332296227364,right,lingual
medialorbitofrontal,-34.78355310030387,-2.1655673725598747,0.03170555616123793,0.6040804276568553,right,medial orbitofrontal
cuneus,-22.703293398857372,-1.9919476770635431,0.047940960540942414,0.7741910310903468,left,cuneus
lingual,-41.16624941773013,-1.9840607877739582,0.048821499398906204,0.5142012074311432,left,lingual
rostralanteriorcingulate,-22.39021995994765,-1.9820048975570441,0.049053268545216154,0.7785996376044562,left,rostral anterior cingulate
fusiform,-45.028827567349055,-1.909963670508572,0.05778284669383151,0.459809537377724,right,fusiform
entorhinal,12.203700186499193,1.8202864352362256,0.07043363353559572,1.2657408727003738,left,entorhinal
rostralanteriorcingulate,-15.896435801021989,-1.7949912116120246,0.07439075370034876,0.8700431635834067,right,rostral anterior cingulate
parahippocampal,-9.413758758935485,-1.7481651712156392,0.0821991978760141,0.961330282465605,left,parahippocampal
parsorbitalis,-16.22894657872246,-1.623571820386849,0.10627747899480947,0.8653608462789208,right,pars orbitalis
transversetemporal,-6.443675640634034,-1.3790009247409092,0.1696645169299689,1.0031541044684869,left,transverse temporal
medialorbitofrontal,-14.499076429977263,-0.9070719949510634,0.36562319643167585,0.8897203602411408,left,medial orbitofrontal
parahippocampal,-4.501696138849595,-0.8903469366859382,0.3745090215743315,1.0305004788899297,right,parahippocampal
pericalcarine,-6.251330715215288,-0.6807692709219378,0.49692240886646055,1.005862648170278,right,pericalcarine
pericalcarine,-4.340654212112577,-0.4642208976563042,0.6430697726220402,1.0327682231282465,left,pericalcarine
entorhinal,0.26773265254853557,0.04065232889839705,0.9676196741116014,1.097662148406079,right,entorhinal
